 numero_reimpresiones, puntos_vta1anio_total, materia3, tirada, ejemplares_distribuidos_en_novedad, obsequios, pvp, reimpresiones, editorial, materia2, encuadernacion, venta_total, semanas_venta, coleccion, puntos_vta_total, materia1
111,13,,211,61,0,   11.54,8,UDLW06,,,31,135,UDLW06006,33,
87,9,,177,31,0,   11.54,8,UDLW06,,,4,133,UDLW06006,13,
1307,18,,1389,54,0,   13.46,9,UDLW06,,,33,135,UDLW06006,28,
85,11,,135,39,0,   10.58,7,UDLW06,,,13,126,UDLW06006,20,
67,9,,147,30,0,   11.54,8,UDLW06,,,4,135,UDLW06006,15,
89,13,,379,45,0,   10.58,7,UDLW06,,,15,135,UDLW06006,26,
652,182,,1732,677,7,    9.62,2,UDLW06,19,3,678,58,UDLW06005,190,152
1,149,,1021,604,8,    9.62,1,UDLW06,152,3,402,84,UDLW06005,169,15
0,123,,1020,604,8,    9.62,0,UDLW06,152,3,341,84,UDLW06005,138,15
832,34,,982,89,0,    9.62,9,UDLW06,,,86,135,UDLW06005,61,
253,122,,1603,894,6,    9.62,9,UDLW06,2334,3,895,138,UDLW06005,266,15
16,138,,1010,575,8,   12.50,1,UDLW06,152,2,338,84,UDLW06003,158,15
33,160,,1033,634,7,   12.50,2,UDLW06,152,2,419,89,UDLW06003,199,15
56,149,,1036,669,7,   12.50,2,UDLW06,,2,417,115,UDLW06003,175,152
18,123,,1518,868,6,   12.50,3,UDLW06,,2,331,130,UDLW06003,253,15
980,54,,1457,218,0,   12.50,10,UDLW06,,,331,136,UDLW06003,88,
65,121,,1415,832,7,   12.50,4,UDLW06,,2,500,138,UDLW06003,262,15
1230,51,,1730,153,0,   12.50,9,UDLW06,,,376,136,UDLW06003,91,
933,16,,1029,49,0,   14.42,10,UDLW06,,,17,133,UDLW06002,26,
83,12,,163,41,0,   14.42,8,UDLW06,,,8,133,UDLW06002,20,
87,9,,157,30,0,   16.35,8,UDLW06,,,7,133,UDLW06001,12,
76,18,,106,38,0,   12.50,8,UDLW06,,,46,133,UDLW06001,29,
10,120,,1445,711,6,   11.54,2,UDLW06,,2,525,142,UDLW06001,144,93
